g,age,ex,chart_floor_threshold,chart_floor_pts,last2_slope_pts_per_unit,lin_slope_last5,lin_intercept_last5,t_at_zero_pts_extrap,dist_floor_to_zero
F,50-54,clrc,21,2.5,0.5,0.4999999999999994,-7.999999999999986,15.999999999999991,-5.000000000000009
F,50-54,plank,60,2.5,0.1,0.10000000000000017,-3.5000000000000093,35.000000000000036,-24.999999999999964
F,55-59,run,1720,35.0,-0.015151515151515152,-0.015243335687994821,61.215525895081015,4015.8878048780666,2295.8878048780666
F,55-59,hamr,13,35.0,0.5,0.37790697674419005,30.18023255813947,-79.86153846153744,-92.86153846153744
F,55-59,pushups,5,2.5,0.5,0.4999999999999993,3.773451912935854e-15,-7.54690382587172e-15,-5.000000000000007
F,55-59,hrpu,3,2.5,0.5,0.5000000000000001,0.9999999999999998,-1.9999999999999991,-4.999999999999999
F,55-59,situps,7,2.5,0.5,0.5000000000000001,-1.0000000000000002,2.0,-5.0
F,55-59,clrc,19,2.5,0.5,0.5000000000000009,-7.000000000000017,14.000000000000009,-4.999999999999991
F,55-59,plank,55,2.5,0.1,0.09999999999999969,-2.999999999999983,29.999999999999925,-25.000000000000075
F,60+,run,1780,35.0,-0.014705882352941176,-0.01470588235294111,61.176470588235155,4160.000000000009,2380.000000000009
F,60+,hamr,11,35.0,0.5,0.3301886792452828,31.575471698113205,-95.62857142857149,-106.62857142857149
F,60+,pushups,3,2.5,0.5,0.5000000000000001,0.9999999999999998,-1.9999999999999991,-4.999999999999999
F,60+,hrpu,1,2.5,0.5,0.5,2.0,-4.0,-5.0
F,60+,situps,6,2.5,0.5,0.4999999999999994,-0.49999999999999684,0.9999999999999949,-5.000000000000005
F,60+,clrc,17,2.5,0.5,0.49999999999999983,-5.999999999999997,11.999999999999998,-5.000000000000002
F,60+,plank,50,2.5,0.1,0.09999999999999996,-2.499999999999998,24.999999999999986,-25.000000000000014
